,RawData,TradeDate,TradeTime,TradeSequenceNumber,SessionIndicator,TickerSymbol,FOIIndicator,DeliveryDate,TradeQuantity,StrikePrice,StrikePriceDecimalLocator,Ask/BidType,IndicativevQuoteType,MarketQuote,Close/OpenType,ValidOpenException,PostClose,CancelCodetype,InsertCodeType,Fast/LateIndicator,CabinetIndicator,BookIndicator,EntryDate
0,2020031214001000000005ECL F200400005       000041372B M         200308,20200312,140010,00000005,E,CL ,F,2004,00005,0004137,2,B, ,M, ,  , , , , , , ,200308
1,2020031214001000000015ECL F200400005       000041372A M         200308,20200312,140010,00000015,E,CL ,F,2004,00005,0004137,2,A, ,M, ,  , , , , , , ,200308
2,2020031214001000000015ECL F200400024       000041652A M         200308,20200312,140010,00000015,E,CL ,F,2004,00024,0004165,2,A, ,M, ,  , , , , , , ,200308
3,2020031216504224503584ECL F200400001       000033122A M         200311,20200312,165042,24503584,E,CL ,F,2004,00001,0003312,2,A, ,M, ,  , , , , , , ,200311
4,2020031216504224503584ECL F200400001       000032962A M         200311,20200312,165042,24503584,E,CL ,F,2004,00001,0003296,2,A, ,M, ,  , , , , , , ,200311
5,2020031216505924503585ECL F200400001       000032962A M         200311,20200312,165059,24503585,E,CL ,F,2004,00001,0003296,2,A, ,M, ,  , , , , , , ,200311
6,2020031216505924503585ECL F200400004       000033272A M         200311,20200312,165059,24503585,E,CL ,F,2004,00004,0003327,2,A, ,M, ,  , , , , , , ,200311
7,2020031216514824503589ECL F200400004       000033272B M         200311,20200312,165148,24503589,E,CL ,F,2004,00004,0003327,2,B, ,M, ,  , , , , , , ,200311
8,2020031216514824503589ECL F200400001       000033002B M         200311,20200312,165148,24503589,E,CL ,F,2004,00001,0003300,2,B, ,M, ,  , , , , , , ,200311
9,2020031216521124503591ECL F200400001       000033292B M         200311,20200312,165211,24503591,E,CL ,F,2004,00001,0003329,2,B, ,M, ,  , , , , , , ,200311
10,2020031216521124503591ECL F200400004       000033272B M         200311,20200312,165211,24503591,E,CL ,F,2004,00004,0003327,2,B, ,M, ,  , , , , , , ,200311
11,2020031216521124503592ECL F200400016       000033292A M         200311,20200312,165211,24503592,E,CL ,F,2004,00016,0003329,2,A, ,M, ,  , , , , , , ,200311
12,2020031216521124503592ECL F200400001       000033292A M         200311,20200312,165211,24503592,E,CL ,F,2004,00001,0003329,2,A, ,M, ,  , , , , , , ,200311
13,2020031216521124503593ECL F200400001       000033292A M         200311,20200312,165211,24503593,E,CL ,F,2004,00001,0003329,2,A, ,M, ,  , , , , , , ,200311
14,2020031216521124503593ECL F200400020       000033292A M         200311,20200312,165211,24503593,E,CL ,F,2004,00020,0003329,2,A, ,M, ,  , , , , , , ,200311
15,2020031216521124503595ECL F200400000       000033292 I          200311,20200312,165211,24503595,E,CL ,F,2004,00000,0003329,2, ,I, , ,  , , , , , , ,200311
16,2020031216535324503603ECL F200400025       000033292A M         200311,20200312,165353,24503603,E,CL ,F,2004,00025,0003329,2,A, ,M, ,  , , , , , , ,200311
17,2020031216535324503603ECL F200400001       000033292A M         200311,20200312,165353,24503603,E,CL ,F,2004,00001,0003329,2,A, ,M, ,  , , , , , , ,200311
18,2020031216560824503621ECL F200400001       000033292A M         200311,20200312,165608,24503621,E,CL ,F,2004,00001,0003329,2,A, ,M, ,  , , , , , , ,200311
19,2020031216560824503621ECL F200400026       000033292A M         200311,20200312,165608,24503621,E,CL ,F,2004,00026,0003329,2,A, ,M, ,  , , , , , , ,200311
20,2020031216565124503625ECL F200400026       000033292B M         200311,20200312,165651,24503625,E,CL ,F,2004,00026,0003329,2,B, ,M, ,  , , , , , , ,200311
21,2020031216565124503625ECL F200400001       000033122B M         200311,20200312,165651,24503625,E,CL ,F,2004,00001,0003312,2,B, ,M, ,  , , , , , , ,200311
22,2020031216565124503626ECL F200400001       000033132B M         200311,20200312,165651,24503626,E,CL ,F,2004,00001,0003313,2,B, ,M, ,  , , , , , , ,200311
23,2020031216565124503626ECL F200400026       000033292B M         200311,20200312,165651,24503626,E,CL ,F,2004,00026,0003329,2,B, ,M, ,  , , , , , , ,200311
24,2020031216565124503627ECL F200400001       000033132A M         200311,20200312,165651,24503627,E,CL ,F,2004,00001,0003313,2,A, ,M, ,  , , , , , , ,200311
25,2020031216565124503627ECL F200400001       000033132A M         200311,20200312,165651,24503627,E,CL ,F,2004,00001,0003313,2,A, ,M, ,  , , , , , , ,200311
26,2020031216565124503630ECL F200400000       000033132 I          200311,20200312,165651,24503630,E,CL ,F,2004,00000,0003313,2, ,I, , ,  , , , , , , ,200311
27,2020031216580124503642ECL F200400001       000033242B M         200311,20200312,165801,24503642,E,CL ,F,2004,00001,0003324,2,B, ,M, ,  , , , , , , ,200311
